,id,name,artists,duration_ms,release_date,year,popularity,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key
11,1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,229173,2016-01-29,2016,81,False,0.0529,0.4,0.479,2.14e-06,0.115,-7.989,0.0308,166.159,0.213,0,8
12,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,183290,2020-03-27,2020,81,False,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.083,123.95,0.679,0,11
13,4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,Måneskin,173346,2021-03-19,2021,81,True,0.00165,0.75,0.608,0.0,0.178,-4.008,0.0387,132.507,0.958,1,1
14,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,160191,2020-12-04,2020,81,False,0.112,0.653,0.524,0.0,0.203,-9.016,0.0502,83.97,0.553,0,11
15,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,226986,2019-11-07,2019,81,True,0.21,0.749,0.463,0.0382,0.338,-8.433,0.0842,90.035,0.189,1,11
16,5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,242013,2021-05-21,2021,82,True,0.768,0.561,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,0.137,1,10
17,4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),"24kGoldn, iann dior",140533,2021-03-26,2021,80,True,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,0.732,0,7
18,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,230746,2021-10-25,2021,79,False,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,0.537,0,11
19,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,613026,2021-11-12,2021,79,True,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,1,0
20,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,198370,2020-03-27,2020,79,False,0.524,0.449,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,0.543,1,0
21,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",203064,2020-03-27,2020,78,False,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,0.915,0,6
22,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",198081,2021-03-19,2021,78,True,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,0.464,1,0
23,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,172324,2020-10-30,2020,78,True,0.468,0.737,0.802,0.0,0.0931,-4.771,0.0878,144.015,0.682,1,0
24,3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),"Doja Cat, SZA",208666,2021-06-25,2021,80,True,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,0.781,1,8
25,18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,Polo G,165925,2021-06-11,2021,78,True,0.41,0.789,0.536,0.0,0.129,-6.862,0.242,81.039,0.437,1,6
26,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,178146,2021-05-21,2021,82,True,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688,1,9
27,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,224694,2021-10-14,2021,77,False,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,0.13,1,5
28,1SC5rEoYDGUK4NfG82494W,MONTERO (Call Me By Your Name),Lil Nas X,137704,2021-09-17,2021,76,True,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,0.71,0,8
29,4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",169153,2021-01-15,2021,76,False,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,0.801,1,2
30,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,"Bad Bunny, JHAYCO",205090,2020-11-27,2020,75,True,0.401,0.731,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,0.145,0,4
31,3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat,210560,2021-06-25,2021,75,True,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,0.194,1,1
32,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),"Drake, 21 Savage, Project Pat",242965,2021-09-03,2021,74,True,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,0.153,0,5
33,3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,"Lil Tjay, 6LACK",205458,2021-04-02,2021,74,True,0.451,0.907,0.393,1.35e-06,0.135,-7.636,0.0539,104.949,0.202,0,4
34,5B0kgjHULYJhAQkK5XsMoC,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",121572,2021-06-25,2021,74,True,0.269,0.493,0.653,0.0,0.511,-5.666,0.0466,142.347,0.852,0,0
35,6Im9k8u9iIzKMrmV7BWtlF,34+35,Ariana Grande,173710,2020-10-30,2020,74,True,0.237,0.83,0.585,0.0,0.248,-6.476,0.094,109.978,0.485,1,0
36,3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,279204,2020-12-25,2020,73,True,0.499,0.436,0.655,8.1e-06,0.688,-8.37,0.0583,121.002,0.412,0,1
37,65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),"Drake, Lil Baby",192956,2021-03-05,2021,73,True,0.0618,0.578,0.449,2.17e-06,0.119,-6.349,0.286,136.006,0.1,1,1
38,2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,206710,2021-06-04,2021,75,True,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,179.951,0.44,1,1
39,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,168601,2021-08-13,2021,72,True,0.299,0.695,0.54,0.0,0.367,-5.692,0.0493,121.932,0.415,1,4
40,6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,164000,2020-09-16,2020,72,False,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,120.031,0.235,0,8
41,1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),"J. Cole, 21 Savage, Morray",218801,2021-05-14,2021,72,True,0.0622,0.597,0.587,0.0,0.214,-7.026,0.137,140.021,0.0753,0,7
42,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",212352,2021-09-17,2021,72,True,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,0.892,0,10
43,07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",162680,2020-03-13,2020,71,True,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,0.399,1,2
44,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",203200,2020-11-27,2020,74,False,0.0303,0.856,0.618,0.0,0.0866,-4.892,0.286,81.993,0.391,1,7
45,3IsTYAUWhdQgqEV35GlJYB,Eu não sou de me entregar,Ferrugem,187053,2020-11-27,2020,71,False,0.388,0.634,0.627,0.0,0.328,-6.804,0.0321,145.821,0.759,0,11
46,1xK1Gg9SxG8fy2Ya373oqb,Bandido,"Myke Towers, Juhn",232853,2020-12-10,2020,70,False,0.122,0.713,0.617,0.0,0.0962,-4.637,0.0887,168.021,0.682,1,8
47,6D2TCm4nf5nxAcdGJ7w3QP,Qué Más Pues?,"J Balvin, Maria Becerra",217360,2021-09-10,2021,70,False,0.0272,0.903,0.817,0.000311,0.242,-3.972,0.095,102.014,0.732,1,8
48,3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,132780,2021-01-06,2021,70,True,0.175,0.778,0.695,0.0,0.15,-6.865,0.0913,149.996,0.472,0,4
49,4AAIAVjSyiq1N7SXKkwXZe,Troca de Calçada,Marília Mendonça,203158,2021-01-29,2021,68,False,0.539,0.659,0.689,0.0,0.147,-4.984,0.0319,99.967,0.701,0,1
50,1jweGFaVZxEVrOHKsLpPY4,Adorei,Grupo Menos É Mais,179452,2021-03-12,2021,67,False,0.642,0.746,0.668,0.0,0.109,-6.496,0.0398,151.853,0.798,1,7
51,3IAfUEeaXRX9s9UdKOJrFI,Envolver,Anitta,193805,2021-11-11,2021,67,False,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,0.396,0,4
52,07AQkmp456NpEnT8HR7WLy,M4,"Teto, Matuê",170000,2021-01-20,2021,66,True,0.08,0.88,0.59,0.0,0.184,-4.709,0.204,119.97,0.723,0,8
53,2B4GHvToeLTOBB4QLzW3Ni,Pepas,Farruko,287120,2021-10-01,2021,66,True,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,0.442,1,7
54,4qsOrxBv09HhNSpsgMRXdC,Esqueça-Me Se For Capaz,"Marília Mendonça, Maiara & Maraisa",169058,2021-10-14,2021,67,False,0.276,0.799,0.685,0.0,0.13,-5.366,0.0725,122.013,0.623,0,6
55,4DWKtQVURjepn8uzBgmwuv,Doutora 3,"Mc Kevin, Perera DJ",157088,2021-03-31,2021,66,False,0.11,0.882,0.419,0.0,0.215,-11.967,0.11,109.912,0.163,1,7
56,3nOz1U41SZZ0N3fuUWr9nb,I AM WOMAN,Emmy Meli,232813,2021-11-19,2021,65,True,0.122,0.646,0.471,0.0,0.125,-9.247,0.157,170.084,0.455,1,10
57,1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,156944,2021-02-05,2021,63,True,0.0012,0.868,0.795,0.0193,0.0461,-6.044,0.269,166.0,0.819,1,11
58,3ITkrUvAA6gzxer2UIom3P,Molhando o Volante,Jorge & Mateus,162538,2021-12-10,2021,63,False,0.707,0.772,0.647,0.0,0.113,-5.404,0.0758,130.183,0.801,1,10
59,7aZusA4cWXz3Wv9e9uhavz,Quer Voar,Matuê,187636,2021-08-11,2021,63,True,0.138,0.806,0.595,0.0,0.0882,-6.166,0.246,82.492,0.677,0,8
60,5SixeLvPsYpk7qq9lo5xYg,Have Mercy,Chlöe,148778,2021-09-10,2021,63,True,0.297,0.903,0.535,0.0,0.345,-6.434,0.0742,130.022,0.508,1,9
61,7FdmHr87G79PDRGy9SPBkZ,Thot Shit,Megan Thee Stallion,184634,2021-10-29,2021,63,True,0.0199,0.949,0.683,0.0,0.171,-4.242,0.0946,130.012,0.887,1,9
62,6x1FttETfbRLerumlTn0ZH,Paypal,Teto,166153,2021-04-01,2021,62,False,0.171,0.888,0.691,0.0,0.343,-3.759,0.254,130.067,0.863,0,4
63,0BiK5BbYNFLb88CCOxBFJe,LUMBERJACK,"Tyler, The Creator",138312,2021-06-25,2021,62,True,0.122,0.386,0.762,0.0,0.527,-6.341,0.564,170.691,0.433,1,9
64,3YvE7uo4ffseBoJPh8IhHp,Presepada,"Marília Mendonça, Maiara & Maraisa",196209,2021-10-14,2021,65,False,0.368,0.606,0.733,0.0,0.144,-4.46,0.175,166.199,0.672,1,9
65,5SwyN9hzmWjBsINlif8li8,Ficha Limpa,Gusttavo Lima,192725,2021-06-19,2021,62,False,0.108,0.774,0.732,0.0,0.243,-4.227,0.0308,135.005,0.734,1,9
66,7xVSNhAUQhUIpwfR6lTOwA,Por Supuesto,Marina Sena,186698,2021-08-19,2021,61,False,0.665,0.825,0.574,4.94e-06,0.0751,-6.383,0.0485,119.999,0.824,0,2
